Date,Ice Cream
00/01/1900,2.030083
01/03/2002,2.043083
01/04/2002,2.0625
01/05/2002,2.048846
01/06/2002,2.03531
01/07/2002,2.036142
01/08/2002,2.065118
01/09/2002,1.972764
01/10/2002,2.014636
01/11/2002,2.01664
01/12/2002,1.956899
01/01/2003,1.883615
01/02/2003,1.985639
01/03/2003,2.024797
01/04/2003,2.016857
01/05/2003,2.017568
01/06/2003,2.022783
01/07/2003,2.027615
01/08/2003,2.049817
01/09/2003,2.015932
01/10/2003,2.004153
01/11/2003,2.038074
01/12/2003,1.96365
01/01/2004,2.124697
01/02/2004,2.176754
01/03/2004,1.972185
01/04/2004,2.064397
01/05/2004,2.007931
01/06/2004,2.054274
01/07/2004,2.017949
01/08/2004,1.978257
01/09/2004,2.008632
01/10/2004,1.992927
01/11/2004,2.066667
01/12/2004,2.014309
01/01/2005,2.078
01/02/2005,2.070171
01/03/2005,2.098536
01/04/2005,2.073065
01/05/2005,2.097877
01/06/2005,2.080472
01/07/2005,2.031129
01/08/2005,2.090236
01/09/2005,2.086202
01/10/2005,2.059839
01/11/2005,2.024683
01/12/2005,2.011825
01/01/2006,2.02812
01/02/2006,2.019491
01/03/2006,2.009304
01/04/2006,1.962185
01/05/2006,1.913273
01/06/2006,1.989065
01/07/2006,1.9144
01/08/2006,1.980079
01/09/2006,1.920656
01/10/2006,1.929262
01/11/2006,1.968306
01/12/2006,1.904048
01/01/2007,1.98913
01/02/2007,2.042137
01/03/2007,2.014825
01/04/2007,2.069029
01/05/2007,1.975893
01/06/2007,1.914034
01/07/2007,1.9115
01/08/2007,1.90041
01/09/2007,1.862031
01/10/2007,1.934375
01/11/2007,1.970148
01/12/2007,1.982707
01/01/2008,2.161532
01/02/2008,2.198455
01/03/2008,2.185214
01/04/2008,2.242273
01/05/2008,2.229912
01/06/2008,2.079508
01/07/2008,2.232748
01/08/2008,2.261008
01/09/2008,2.102388
01/10/2008,2.252148
01/11/2008,2.17374
01/12/2008,2.058824
01/01/2009,2.167273
01/02/2009,2.105
01/03/2009,2.29184
01/04/2009,2.180086
01/05/2009,2.364595
01/06/2009,2.104825
01/07/2009,2.196098
01/08/2009,2.224516
01/09/2009,2.259835
01/10/2009,2.297539
01/11/2009,2.220333
01/12/2009,2.096667
01/01/2010,2.232109
01/02/2010,2.216549
01/03/2010,2.155124
01/04/2010,2.20232
01/05/2010,2.190342
01/06/2010,2.197955
01/07/2010,2.151791
01/08/2010,2.237591
01/09/2010,2.264809
01/10/2010,2.229127
01/11/2010,2.28155
01/12/2010,2.14554
01/01/2011,2.242045
01/02/2011,2.447742
01/03/2011,2.386667
01/04/2011,2.39808
01/05/2011,2.44232
01/06/2011,2.405368
01/07/2011,2.352794
01/08/2011,2.361176
01/09/2011,2.519237
01/10/2011,2.690161
01/11/2011,2.57568
01/12/2011,2.60816
01/01/2012,2.728485
01/02/2012,2.537868
01/03/2012,2.588296
01/04/2012,2.57
01/05/2012,2.512045
01/06/2012,2.434773
01/07/2012,2.461791
01/08/2012,2.383262
01/09/2012,2.604084
01/10/2012,2.633769
01/11/2012,2.783969
01/12/2012,2.573796
01/01/2013,2.751533
01/02/2013,2.521692
01/03/2013,2.559403
01/04/2013,2.614702
01/05/2013,2.434511
01/06/2013,2.280602
01/07/2013,2.525373
01/08/2013,2.605643
01/09/2013,2.53
01/10/2013,2.554965
01/11/2013,2.546522
01/12/2013,2.380758
01/01/2014,2.760515
01/02/2014,2.393435
01/03/2014,2.682769
01/04/2014,2.352553
01/05/2014,2.491397
01/06/2014,2.557266
01/07/2014,2.426642
01/08/2014,2.567
01/09/2014,2.463597
01/10/2014,2.334341
01/11/2014,2.647308
01/12/2014,2.428919
01/01/2015,2.554769
01/02/2015,2.526667
01/03/2015,2.554296
01/04/2015,2.602214
01/05/2015,2.627045
01/06/2015,2.408657
01/07/2015,2.385
01/08/2015,2.541825
01/09/2015,2.432324
01/10/2015,2.368794
01/11/2015,2.510769
01/12/2015,2.362911
01/01/2016,2.475839
01/02/2016,2.401241
01/03/2016,2.410786
01/04/2016,2.264307
01/05/2016,2.389058
01/06/2016,2.432536
01/07/2016,2.326963
01/08/2016,2.375315
01/09/2016,2.262837
01/10/2016,2.508857
01/11/2016,2.385113
01/12/2016,2.134148
01/01/2017,2.391214
01/02/2017,2.433885
01/03/2017,2.477338
01/04/2017,2.315362
01/05/2017,2.472206
01/06/2017,2.401655
01/07/2017,2.387299
01/08/2017,2.419786
01/09/2017,2.445422
01/10/2017,2.419231
01/11/2017,2.51637
01/12/2017,2.403427
01/01/2018,2.576901
01/02/2018,2.462158
01/03/2018,2.496391
01/04/2018,2.504745
01/05/2018,2.232537
01/06/2018,2.43163
01/07/2018,2.39375
01/08/2018,2.469648
01/09/2018,2.458162
01/10/2018,2.428116
01/11/2018,2.53637
01/12/2018,2.446154
01/01/2019,2.66953
01/02/2019,2.594354
01/03/2019,2.520068
01/04/2019,2.436574
01/05/2019,2.623286
01/06/2019,2.363546
01/07/2019,2.403873
01/08/2019,2.624615
01/09/2019,2.646
01/10/2019,2.511479
01/11/2019,2.609071
01/12/2019,2.49237
01/01/2020,2.783969
01/02/2020,2.710709
01/03/2020,2.749328
01/04/2020,2.542294
01/05/2020,2.475714
01/06/2020,2.514806
01/07/2020,2.769491
01/08/2020,2.589044
01/09/2020,2.619496
01/10/2020,2.398
01/11/2020,2.283163
01/12/2020,2.153107
01/01/2021,2.563496
01/02/2021,2.394874
01/03/2021,2.404553
01/04/2021,2.454222
01/05/2021,2.371391
01/06/2021,2.475935
01/07/2021,2.463521
01/08/2021,2.539041
01/09/2021,2.617083
01/10/2021,2.496268
01/11/2021,2.706846
01/12/2021,2.569308
01/01/2022,2.753333
01/02/2022,2.729141
01/03/2022,2.63736
01/04/2022,2.67856
01/05/2022,2.695397
01/06/2022,2.686083
01/07/2022,2.839779
01/08/2022,2.834341
01/09/2022,3.055408
01/10/2022,2.972086
01/11/2022,2.901531
